"city_id","year","land_cover_class","land_percent"
"Cantón Acosta",2020,"Trees",93.14
"Cantón Acosta",2020,"Grassland",6.86
"Cantón San José",2020,"Built-up",75.71
"Cantón San José",2020,"Trees",17.24
"Cantón San José",2020,"Grassland",6.14
"Cantón San José",2020,"Barren / sparse vegetation",0.72
"Cantón San José",2020,"Cropland",0.13
"Cantón San José",2020,"Open water",0.06
"Cantón Alajuela",2020,"Trees",61.9
"Cantón Alajuela",2020,"Grassland",24.28
"Cantón Alajuela",2020,"Built-up",11.17
"Cantón Alajuela",2020,"Barren / sparse vegetation",1.41
"Cantón Alajuela",2020,"Cropland",0.92
"Cantón Alajuela",2020,"Open water",0.23
"Cantón Alajuela",2020,"Shrubland",0.09
"Cantón Moravia",2020,"Trees",62.1
"Cantón Moravia",2020,"Built-up",23.59
"Cantón Moravia",2020,"Grassland",13.36
"Cantón Moravia",2020,"Cropland",0.55
"Cantón Moravia",2020,"Barren / sparse vegetation",0.32
"Cantón Moravia",2020,"Shrubland",0.09
"Cantón Río Cuarto",2020,"Trees",87.88
"Cantón Río Cuarto",2020,"Grassland",12.12
"Cantón Paraíso",2020,"Trees",91
"Cantón Paraíso",2020,"Grassland",6.71
"Cantón Paraíso",2020,"Built-up",1.31
"Cantón Paraíso",2020,"Barren / sparse vegetation",0.56
"Cantón Paraíso",2020,"Cropland",0.25
"Cantón Paraíso",2020,"Open water",0.14
"Cantón Paraíso",2020,"Shrubland",0.03
"Cantón Poás",2020,"Trees",71.24
"Cantón Poás",2020,"Grassland",21.05
"Cantón Poás",2020,"Built-up",4.12
"Cantón Poás",2020,"Cropland",1.83
"Cantón Poás",2020,"Barren / sparse vegetation",1.55
"Cantón Poás",2020,"Open water",0.2
"Cantón Poás",2020,"Shrubland",0.01
"Cantón Jiménez",2020,"Trees",97.01
"Cantón Jiménez",2020,"Grassland",1.49
"Cantón Jiménez",2020,"Cropland",1.49
"Cantón Mora",2020,"Trees",79.35
"Cantón Mora",2020,"Grassland",18.85
"Cantón Mora",2020,"Built-up",1.31
"Cantón Mora",2020,"Open water",0.44
"Cantón Mora",2020,"Barren / sparse vegetation",0.05
"Cantón Mora",2020,"Shrubland",0.01
"Cantón Mora",2020,"Cropland",0.01
"Cantón Alvarado",2020,"Trees",61.16
"Cantón Alvarado",2020,"Grassland",25.34
"Cantón Alvarado",2020,"Cropland",10.96
"Cantón Alvarado",2020,"Built-up",1.97
"Cantón Alvarado",2020,"Barren / sparse vegetation",0.54
"Cantón Alvarado",2020,"Shrubland",0.03
"Cantón Oreamuno",2020,"Trees",71.08
"Cantón Oreamuno",2020,"Grassland",18.97
"Cantón Oreamuno",2020,"Cropland",5.77
"Cantón Oreamuno",2020,"Built-up",2.67
"Cantón Oreamuno",2020,"Barren / sparse vegetation",1.38
"Cantón Oreamuno",2020,"Open water",0.09
"Cantón Oreamuno",2020,"Shrubland",0.05
"Cantón Pérez Zeledón",2020,"Trees",89.19
"Cantón Pérez Zeledón",2020,"Grassland",10.81
"Cantón Puriscal",2020,"Trees",86.27
"Cantón Puriscal",2020,"Grassland",13.73
"Cantón Heredia (urban)",2020,"Built-up",67.83
"Cantón Heredia (urban)",2020,"Trees",21.82
"Cantón Heredia (urban)",2020,"Grassland",8.28
"Cantón Heredia (urban)",2020,"Cropland",1.22
"Cantón Heredia (urban)",2020,"Barren / sparse vegetation",0.81
"Cantón Heredia (urban)",2020,"Open water",0.03
"Cantón Heredia (rural)",2020,"Trees",96.09
"Cantón Heredia (rural)",2020,"Grassland",3.62
"Cantón Heredia (rural)",2020,"Shrubland",0.15
"Cantón Heredia (rural)",2020,"Barren / sparse vegetation",0.08
"Cantón Heredia (rural)",2020,"Built-up",0.04
"Cantón Heredia (rural)",2020,"Open water",0.03
"Cantón Naranjo",2020,"Trees",100
"Cantón San Mateo",2020,"Trees",100
"Cantón Tibás",2020,"Built-up",77.53
"Cantón Tibás",2020,"Trees",19.41
"Cantón Tibás",2020,"Grassland",2.04
"Cantón Tibás",2020,"Barren / sparse vegetation",1.02
"Cantón Valverde Vega",2020,"Trees",100
"Cantón Vasquez de Coronado",2020,"Trees",85.27
"Cantón Vasquez de Coronado",2020,"Grassland",10.77
"Cantón Vasquez de Coronado",2020,"Built-up",2.51
"Cantón Vasquez de Coronado",2020,"Barren / sparse vegetation",0.95
"Cantón Vasquez de Coronado",2020,"Open water",0.31
"Cantón Vasquez de Coronado",2020,"Shrubland",0.1
"Cantón Vasquez de Coronado",2020,"Cropland",0.09
"Cantón Turrialba",2020,"Trees",97.83
"Cantón Turrialba",2020,"Cropland",2.17
"Cantón Parrita",2020,"Trees",100
"Cantón Sarapiquí",2020,"Trees",97.14
"Cantón Sarapiquí",2020,"Barren / sparse vegetation",2.86
"Cantón Atenas",2020,"Trees",72.89
"Cantón Atenas",2020,"Grassland",23.11
"Cantón Atenas",2020,"Built-up",2.59
"Cantón Atenas",2020,"Cropland",0.74
"Cantón Atenas",2020,"Open water",0.27
"Cantón Atenas",2020,"Barren / sparse vegetation",0.21
"Cantón Atenas",2020,"Shrubland",0.2
"Cantón Desamparados",2020,"Trees",75.46
"Cantón Desamparados",2020,"Built-up",13.86
"Cantón Desamparados",2020,"Grassland",10.08
"Cantón Desamparados",2020,"Barren / sparse vegetation",0.4
"Cantón Desamparados",2020,"Shrubland",0.11
"Cantón Desamparados",2020,"Cropland",0.1
"Cantón Orotina",2020,"Trees",100
"Cantón Pococí",2020,"Trees",75.93
"Cantón Pococí",2020,"Open water",24.07
"Cantón Dota",2020,"Trees",84.62
"Cantón Dota",2020,"Grassland",15.38
"Cantón Turrubares",2020,"Trees",78.57
"Cantón Turrubares",2020,"Open water",21.43
"Cantón Aserrí",2020,"Trees",82.81
"Cantón Aserrí",2020,"Grassland",14.42
"Cantón Aserrí",2020,"Built-up",2.41
"Cantón Aserrí",2020,"Barren / sparse vegetation",0.26
"Cantón Aserrí",2020,"Shrubland",0.08
"Cantón Aserrí",2020,"Cropland",0.02
"Cantón Grecia",2020,"Trees",100
"Cantón Santo Domingo",2020,"Trees",53.14
"Cantón Santo Domingo",2020,"Built-up",30.03
"Cantón Santo Domingo",2020,"Grassland",14.03
"Cantón Santo Domingo",2020,"Cropland",1.6
"Cantón Santo Domingo",2020,"Barren / sparse vegetation",0.9
"Cantón Santo Domingo",2020,"Shrubland",0.3
"Cantón El Cuarco",2020,"Trees",79.36
"Cantón El Cuarco",2020,"Grassland",16.22
"Cantón El Cuarco",2020,"Built-up",3.2
