"city_id","year","land_cover_class","land_percent"
"Cantón El Cuarco",2020,"Cropland",0.66
"Cantón El Cuarco",2020,"Barren / sparse vegetation",0.43
"Cantón El Cuarco",2020,"Shrubland",0.13
"Cantón El Cuarco",2020,"Open water",0
"Cantón Montes de Oca",2020,"Built-up",47.8
"Cantón Montes de Oca",2020,"Trees",42.02
"Cantón Montes de Oca",2020,"Grassland",10.08
"Cantón Montes de Oca",2020,"Shrubland",0.05
"Cantón Montes de Oca",2020,"Cropland",0.05
"Cantón Tarrazú",2020,"Trees",100
"Cantón León Cortés Castro",2020,"Trees",88.24
"Cantón León Cortés Castro",2020,"Grassland",11.76
"Cantón Goicoechea",2020,"Trees",44.45
"Cantón Goicoechea",2020,"Built-up",34.71
"Cantón Goicoechea",2020,"Grassland",20.26
"Cantón Goicoechea",2020,"Barren / sparse vegetation",0.49
"Cantón Goicoechea",2020,"Cropland",0.08
"Cantón Cartago",2020,"Trees",67.65
"Cantón Cartago",2020,"Grassland",19.16
"Cantón Cartago",2020,"Built-up",8.24
"Cantón Cartago",2020,"Cropland",2.81
"Cantón Cartago",2020,"Barren / sparse vegetation",1.83
"Cantón Cartago",2020,"Shrubland",0.31
"Cantón Cartago",2020,"Open water",0.01
"Cantón San Pablo",2020,"Built-up",47
"Cantón San Pablo",2020,"Trees",39.78
"Cantón San Pablo",2020,"Grassland",8.55
"Cantón San Pablo",2020,"Cropland",2.44
"Cantón San Pablo",2020,"Barren / sparse vegetation",2.24
"Cantón Curridabat",2020,"Built-up",59.47
"Cantón Curridabat",2020,"Trees",32.96
"Cantón Curridabat",2020,"Grassland",6.49
"Cantón Curridabat",2020,"Barren / sparse vegetation",0.98
"Cantón Curridabat",2020,"Cropland",0.1
"Cantón Alajuelita",2020,"Trees",63.02
"Cantón Alajuelita",2020,"Built-up",22.13
"Cantón Alajuelita",2020,"Grassland",13.63
"Cantón Alajuelita",2020,"Barren / sparse vegetation",1.15
"Cantón Alajuelita",2020,"Shrubland",0.04
"Cantón Alajuelita",2020,"Cropland",0.04
"Cantón Barva",2020,"Trees",72.94
"Cantón Barva",2020,"Grassland",18.31
"Cantón Barva",2020,"Built-up",7.95
"Cantón Barva",2020,"Cropland",0.48
"Cantón Barva",2020,"Barren / sparse vegetation",0.32
"Cantón Belén",2020,"Built-up",48.65
"Cantón Belén",2020,"Trees",27.16
"Cantón Belén",2020,"Grassland",19
"Cantón Belén",2020,"Cropland",2.49
"Cantón Belén",2020,"Barren / sparse vegetation",2.49
"Cantón Belén",2020,"Open water",0.2
"Cantón Escazú",2020,"Trees",58.44
"Cantón Escazú",2020,"Built-up",29
"Cantón Escazú",2020,"Grassland",11.83
"Cantón Escazú",2020,"Barren / sparse vegetation",0.56
"Cantón Escazú",2020,"Cropland",0.1
"Cantón Escazú",2020,"Shrubland",0.05
"Cantón Escazú",2020,"Open water",0.02
"Cantón Flores",2020,"Built-up",55.11
"Cantón Flores",2020,"Trees",24.97
"Cantón Flores",2020,"Grassland",15.01
"Cantón Flores",2020,"Cropland",3.91
"Cantón Flores",2020,"Barren / sparse vegetation",1.01
"Cantón La Unión",2020,"Trees",59.92
"Cantón La Unión",2020,"Built-up",23.62
"Cantón La Unión",2020,"Grassland",15.14
"Cantón La Unión",2020,"Barren / sparse vegetation",0.97
"Cantón La Unión",2020,"Cropland",0.19
"Cantón La Unión",2020,"Shrubland",0.16
"Cantón Palmares",2020,"Trees",83.33
"Cantón Palmares",2020,"Grassland",16.67
"Cantón San Isidro",2020,"Trees",64.82
"Cantón San Isidro",2020,"Grassland",20.47
"Cantón San Isidro",2020,"Built-up",12.27
"Cantón San Isidro",2020,"Cropland",1.73
"Cantón San Isidro",2020,"Barren / sparse vegetation",0.61
"Cantón San Isidro",2020,"Shrubland",0.1
"Cantón San Rafael",2020,"Trees",71.6
"Cantón San Rafael",2020,"Grassland",18.35
"Cantón San Rafael",2020,"Built-up",9.54
"Cantón San Rafael",2020,"Cropland",0.33
"Cantón San Rafael",2020,"Barren / sparse vegetation",0.16
"Cantón San Rafael",2020,"Shrubland",0.02
"Cantón Santa Ana",2020,"Trees",66.39
"Cantón Santa Ana",2020,"Grassland",16.1
"Cantón Santa Ana",2020,"Built-up",15.85
"Cantón Santa Ana",2020,"Barren / sparse vegetation",1.19
"Cantón Santa Ana",2020,"Cropland",0.23
"Cantón Santa Ana",2020,"Open water",0.17
"Cantón Santa Ana",2020,"Shrubland",0.07
"Cantón Santa Bárbara",2020,"Trees",69.11
"Cantón Santa Bárbara",2020,"Grassland",22.22
"Cantón Santa Bárbara",2020,"Built-up",7.56
"Cantón Santa Bárbara",2020,"Cropland",0.62
"Cantón Santa Bárbara",2020,"Barren / sparse vegetation",0.28
"Cantón Santa Bárbara",2020,"Shrubland",0.21
