"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Insecta","Hymenoptera","Vespidae","Vespa","CN","Chongqing",2021-07-30 17:26:00,2021,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.561867,29.597706
"Magnoliopsida","Saxifragales","Crassulaceae","Sedum","CN","Chongqing",2020-05-18 00:00:00,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.259825,29.384402
"Insecta","Hemiptera","Gerridae","Gerris","CN","Chongqing",2018-06-16 02:41:00,2018,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.114069,29.999285
"Aves","Passeriformes","Leiothrichidae","Ianthocincla","CN","Chongqing",2019-10-21 08:41:00,2019,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.567274,29.668155
"Insecta","Coleoptera","Lucanidae","Odontolabis","CN","Chongqing",2010-08-08 00:00:00,2010,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.829363,28.916713
"Aves","Passeriformes","Corvidae","Urocissa","CN","Hubei",2021-05-17 13:23:00,2021,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",110.447531,31.43606
"Magnoliopsida","Fabales","Fabaceae","Trifolium","CN","Chongqing",2020-10-18 11:56:20,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.787477,31.036306
"Insecta","Lepidoptera","Nymphalidae","Callerebia","CN","Chongqing",2011-07-30 16:34:00,2011,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",107.174444,29.019444
"Insecta","Blattodea","Blattidae","Periplaneta","CN","Chongqing",2020-12-01 09:54:00,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.297551,29.470469
"Insecta","Lepidoptera","Erebidae","Ophiusa","CN","Chongqing",2011-07-31 07:16:00,2011,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",107.174444,29.019444
"Insecta","Coleoptera","Carabidae","Cicindela","CN","Chongqing",2020-07-25 21:42:53,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.449306,30.768777
"Insecta","Lepidoptera","Nymphalidae","Vanessa","CN","Chongqing",2021-09-06 12:41:00,2021,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",107.195348,29.102972
"Aves","Passeriformes","Motacillidae","Motacilla","CN","Hubei",2019-09-24 12:38:00,2019,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",109.453103,29.837339
"Insecta","Lepidoptera","Papilionidae","Papilio","CN","Chongqing",2019-07-02 11:05:00,2019,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.635667,29.495592
"Insecta","Orthoptera","Gryllidae","Velarifictorus","CN","Chongqing",2020-10-21 19:38:24,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.180282,29.407251
"Aves","Passeriformes","Passeridae","Passer","CN","Chongqing",2018-11-09 08:36:00,2018,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",109.573545,31.042841
"Aves","Passeriformes","Motacillidae","Motacilla","CN","Chongqing",2020-12-26 16:26:36,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.71878,30.920957
"Insecta","Lepidoptera","Papilionidae","Graphium","CN","Chongqing",2018-06-24 04:20:00,2018,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.114069,29.999285
"Insecta","Hymenoptera","Vespidae","Vespa","CN","Chongqing",2019-04-24 17:07:00,2019,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.676337,29.228326
"Aves","Passeriformes","Paridae","Periparus","CN","Chongqing",2018-11-06 13:18:00,2018,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.570472,29.422411
"Insecta","Coleoptera","Dynastidae","Trypoxylus","CN","Chongqing",2021-05-16 14:19:05,2021,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.658714,29.57585
"Aves","Passeriformes","Pycnonotidae","Pycnonotus","CN","Chongqing",2018-11-06 11:09:00,2018,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.570472,29.422411
"Gastropoda","Stylommatophora","Camaenidae","Laeocathaica","CN","Chongqing",2020-04-05 18:22:00,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.963585,29.432826
"Aves","Passeriformes","Pycnonotidae","Pycnonotus","CN","Chongqing",2020-04-22 13:33:28,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.505758,29.504238
"Magnoliopsida","Asterales","Asteraceae","Crassocephalum","CN","Chongqing",2020-10-11 13:54:43,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",108.6961,30.807527
"Aves","Passeriformes","Passeridae","Passer","CN","Chongqing",2020-09-23 17:41:49,2020,"16","cities360","55c295c2943d45f4a8ecbf09e26d8cac","TRUE","CHN-Chongqing","Chongqing","CHN","CH",106.518238,29.604803
