"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Insecta","Hymenoptera","Formicidae","Oecophylla","ID","Jawa Tengah",2020-08-13 14:02:00,2020,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.353639,-6.990214
"Reptilia","Squamata","Gekkonidae","Gekko","ID","Jawa Tengah",2021-11-24 07:47:00,2021,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.401418,-7.040181
"Actinopterygii","Perciformes","Anabantidae","Anabas","ID","Jawa Tengah",2021-11-29 08:27:00,2021,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.438125,-7.005145
"Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia","ID","Jawa Tengah",2019-04-27 17:03:00,2019,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.289533,-6.994411
"Amphibia","Anura","Dicroglossidae","Limnonectes","ID","Jawa Tengah",2017-09-30 00:00:00,2017,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.439056,-7.053548
"Reptilia","Squamata","Gekkonidae","Gehyra","ID","Jawa Tengah",2018-09-24 21:00:00,2018,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.414067,-7.015291
"Insecta","Lepidoptera","Nymphalidae","Junonia","ID","Jawa Tengah",2013-01-03 12:35:00,2013,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.392452,-7.050599
"Arachnida","Araneae","Salticidae","Plexippus","ID","Jawa Tengah",2021-11-22 22:07:00,2021,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.423286,-7.054031
"Insecta","Odonata","Libellulidae","Pantala","ID","Jawa Tengah",2021-12-24 11:12:40,2021,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.446111,-6.983889
"Insecta","Orthoptera","Gryllidae","Gryllodes","ID","Jawa Tengah",2019-04-27 16:49:00,2019,"24","city_specific","af1de754d66747618e9d531590bd94b8","TRUE","IDN-Semarang","Semarang","IDN","ID",110.38417,-6.992815
