"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Insecta","Lepidoptera","Nymphalidae","Euthalia","IN","Gujarat",2021-10-19 08:53:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877177,21.31518
"Insecta","Lepidoptera","Nymphalidae","Ypthima","IN","Gujarat",2017-04-15 07:36:00,2017,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877328,21.315199
"Insecta","Lepidoptera","Crambidae","Isocentris","IN","Gujarat",2006-10-23 01:59:00,2006,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.831061,21.17024
"Insecta","Lepidoptera","Nymphalidae","Charaxes","IN","Gujarat",2019-10-06 14:21:00,2019,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.876102,21.314012
"Insecta","Lepidoptera","Crambidae","Noorda","IN","Gujarat",2007-02-27 16:14:00,2007,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.831061,21.17024
"Insecta","Lepidoptera","Papilionidae","Papilio","IN","Gujarat",2020-12-27 17:26:00,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877874,21.315455
"Insecta","Lepidoptera","Pieridae","Catopsilia","IN","Gujarat",2021-07-18 14:54:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.677096,21.400286
"Arachnida","Araneae","Salticidae","Plexippus","IN","Gujarat",2021-08-15 18:21:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877213,21.315172
"Insecta","Odonata","Coenagrionidae","Agriocnemis","IN","Gujarat",2020-09-20 10:58:00,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.733934,21.125858
"Insecta","Lepidoptera","Noctuidae","Asota","IN","Gujarat",2020-03-02 23:29:42,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.828133,21.184824
"Insecta","Odonata","Libellulidae","Brachythemis","IN","Gujarat",2017-09-10 15:45:00,2017,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.87796,21.31646
"Arachnida","Araneae","Salticidae","Phintella","IN","Gujarat",2019-07-21 09:15:00,2019,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.733945,21.125851
"Insecta","Lepidoptera","Nymphalidae","Vanessa","IN","Gujarat",2019-06-08 09:58:00,2019,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.878317,21.314964
"Insecta","Coleoptera","Meloidae","Hycleus","IN","Gujarat",2021-07-11 08:48:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.868691,21.299871
"Insecta","Lepidoptera","Lycaenidae","Chilades","IN","Gujarat",2020-05-25 17:04:00,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877206,21.315187
"Insecta","Lepidoptera","Lycaenidae","Chilades","IN","Gujarat",2021-07-21 12:33:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877295,21.315169
"Aves","Passeriformes","Nectariniidae","Leptocoma","IN","Gujarat",2021-07-21 17:16:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.87736,21.315114
"Arachnida","Araneae","Salticidae","Telamonia","IN","Gujarat",2019-04-07 09:35:00,2019,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.878686,21.314281
"Magnoliopsida","Gentianales","Apocynaceae","Alstonia","IN","Gujarat",2020-09-27 18:12:54,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.797272,21.15509
"Insecta","Odonata","Coenagrionidae","Ceriagrion","IN","Gujarat",2020-09-20 10:18:00,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.733912,21.125858
"Insecta","Lepidoptera","Pieridae","Colotis","IN","Gujarat",2021-07-18 14:06:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.677434,21.39961
"Insecta","Odonata","Libellulidae","Neurothemis","IN","Gujarat",2020-09-13 15:34:00,2020,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877325,21.315415
"Insecta","Lepidoptera","Erebidae","Amata","IN","Gujarat",2021-02-28 10:31:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.734514,21.128604
"Magnoliopsida","Fabales","Fabaceae","Clitoria","IN","Gujarat",2016-10-25 08:43:00,2016,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877249,21.315193
"Insecta","Lepidoptera","Nymphalidae","Danaus","IN","Gujarat",2021-01-12 08:14:00,2021,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.877533,21.315201
"Insecta","Lepidoptera","Crambidae","Cydalima","IN","Gujarat",2006-10-17 14:57:00,2006,"14","cities360","d8fbd82c2636481199e7c6e2f4af5fec","TRUE","IND-Surat","Surat","IND","IN",72.831061,21.17024
