"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Actinopterygii","Perciformes","Labridae","Stethojulis","ID","Sulawesi Utara",2019-09-26 11:44:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.760268,1.623516
"Insecta","Lepidoptera","Nymphalidae","Junonia","ID","Sulawesi Utara",2012-05-19 09:18:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.796172,1.328633
"Reptilia","Squamata","Viperidae","Tropidolaemus","ID","Sulawesi Utara",2015-07-13 00:41:19,2015,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163485,1.546056
"Malacostraca","Decapoda","Palinuridae","Panulirus","ID","Sulawesi Utara",2020-04-20 00:00:00,2020,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.235113,1.443575
"Actinopterygii","Perciformes","Labridae","Novaculichthys","ID","Sulawesi Utara",2012-10-10 16:46:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.760268,1.623516
"Insecta","Lepidoptera","Sphingidae","Daphnis","ID","Sulawesi Utara",2019-12-09 02:18:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.153731,1.561617
"Aves","Accipitriformes","Pandionidae","Pandion","ID","Sulawesi Utara",2020-10-27 16:10:18,2020,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.104871,1.64322
"Insecta","Lepidoptera","Papilionidae","Graphium","ID","Sulawesi Utara",2019-12-11 00:00:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.559362
"Mammalia","Diprotodontia","Phalangeridae","Ailurops","ID","Sulawesi Utara",2016-03-11 00:00:00,2016,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.194391,1.460862
"Aves","Columbiformes","Columbidae","Chalcophaps","ID","Sulawesi Utara",2015-09-23 05:00:00,2015,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.172183,1.559753
"Insecta","Lepidoptera","Pieridae","Appias","ID","Sulawesi Utara",2018-04-16 09:03:00,2018,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.166956,1.567039
"Insecta","Hemiptera","Fulgoridae","Scamandra","ID","Sulawesi Utara",2012-05-15 17:14:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.559362
"Aves","Bucerotiformes","Bucerotidae","Aceros","ID","Sulawesi Utara",2015-07-12 23:20:42,2015,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.102732,1.575732
"Anthozoa","Scleractinia","Lobophylliidae","Lobophyllia","ID","Sulawesi Utara",2013-10-11 05:11:00,2013,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.133736,1.751236
"Malacostraca","Decapoda","Stenopodidae","Stenopus","ID","Sulawesi Utara",2020-04-26 17:19:00,2020,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.225853,1.461156
"Insecta","Odonata","Chlorocyphidae","Libellago","ID","Sulawesi Utara",2017-04-13 03:15:08,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.97795,1.567383
"Insecta","Coleoptera","Coccinellidae","Cheilomenes","ID","Sulawesi Utara",2019-08-17 17:53:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.833062,1.458977
"Insecta","Lepidoptera","Papilionidae","Troides","ID","Sulawesi Utara",2017-08-05 07:49:00,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.550439
"Asteroidea","Valvatida","Ophidiasteridae","Linckia","ID","Sulawesi Utara",2012-10-20 14:04:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.240925,1.444764
"Actinopterygii","Perciformes","Pomacentridae","Amphiprion","ID","Sulawesi Utara",2012-10-09 19:30:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.760268,1.623516
"Insecta","Odonata","Libellulidae","Tetrathemis","ID","Sulawesi Utara",2017-04-19 04:33:45,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.144305,1.590241
"Insecta","Orthoptera","Tettigoniidae","Mecopoda","ID","Sulawesi Utara",2020-05-09 19:12:00,2020,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.235199,1.443469
"Actinopterygii","Perciformes","Labridae","Pteragogus","ID","Sulawesi Utara",2017-11-19 11:12:00,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.149902,1.735533
"Mammalia","Primates","Tarsiidae","Tarsius","ID","Sulawesi Utara",2019-12-29 00:00:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.19795,1.551794
"Insecta","Lepidoptera","Nymphalidae","Idea","ID","Sulawesi Utara",2019-12-09 00:00:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.559362
"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","ID","Sulawesi Utara",2016-12-03 00:00:00,2016,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.873421,1.562245
"Aves","Gruiformes","Rallidae","Amaurornis","ID","Sulawesi Utara",2017-07-31 13:39:00,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.835556,1.472743
"Aves","Columbiformes","Columbidae","Ducula","ID","Sulawesi Utara",2011-10-15 01:08:34,2011,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.188164,1.508246
"Aves","Cuculiformes","Cuculidae","Zanclostomus","ID","Sulawesi Utara",2017-08-06 06:12:00,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.102294,1.392735
"Actinopterygii","Perciformes","Pomacentridae","Dascyllus","ID","Sulawesi Utara",2013-04-22 17:04:50,2013,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.707563,1.413847
"Magnoliopsida","Lamiales","Acanthaceae","Thunbergia","ID","Sulawesi Utara",2019-08-30 14:35:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.872511,1.236636
"Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniura","ID","Sulawesi Utara",2013-04-18 09:18:11,2013,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.27691,1.511869
"Mammalia","Primates","Cercopithecidae","Macaca","ID","Sulawesi Utara",2016-09-14 04:43:00,2016,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.099311,1.556496
"Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron","ID","Sulawesi Utara",2012-10-09 19:07:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.760268,1.623516
"Aves","Passeriformes","Sturnidae","Aplonis","ID","Sulawesi Utara",2013-04-22 06:47:44,2013,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.204697,1.455353
"Magnoliopsida","Brassicales","Cleomaceae","Cleome","ID","Sulawesi Utara",2012-05-18 16:06:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.840508,1.322934
"Insecta","Odonata","Libellulidae","Tetrathemis","ID","Sulawesi Utara",2012-05-17 08:47:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.559362
"Insecta","Lepidoptera","Saturniidae","Loepa","ID","Sulawesi Utara",2019-11-08 06:51:23,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.83445,1.370242
"Aves","Passeriformes","Pellorneidae","Trichastoma","ID","Sulawesi Utara",2016-03-15 00:00:00,2016,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.842796,1.328218
"Insecta","Lepidoptera","Nymphalidae","Cethosia","ID","Sulawesi Utara",2012-05-17 12:24:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.559362
"Magnoliopsida","Proteales","Nelumbonaceae","Nelumbo","ID","Sulawesi Utara",2012-05-18 06:34:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.840508,1.322934
"Actinopterygii","Perciformes","Apogonidae","Pterapogon","ID","Sulawesi Utara",2019-01-13 13:07:00,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.264283,1.486983
"Mammalia","Diprotodontia","Phalangeridae","Ailurops","ID","Sulawesi Utara",2015-09-23 09:05:00,2015,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.130206,1.433759
"Gastropoda","Pleurobranchida","Pleurobranchidae","Pleurobranchus","ID","Sulawesi Utara",2012-10-18 17:58:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.198027,1.439329
"Insecta","Hemiptera","Fulgoridae","Penthicodes","ID","Sulawesi Utara",2012-05-16 21:18:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.163428,1.559362
"Actinopterygii","Perciformes","Blenniidae","Ecsenius","ID","Sulawesi Utara",2012-10-11 18:21:00,2012,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",124.760268,1.623516
"Insecta","Lepidoptera","Nymphalidae","Doleschallia","ID","Sulawesi Utara",2020-05-21 00:00:00,2020,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.235187,1.44267
"Asteroidea","Spinulosida","Echinasteridae","Echinaster","ID","Sulawesi Utara",2019-11-20 15:16:23,2019,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.235374,1.443767
"Mammalia","Primates","Cercopithecidae","Macaca","ID","Sulawesi Utara",2011-06-09 07:47:00,2011,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.000857,1.487527
"Actinopterygii","Perciformes","Pomacentridae","Amphiprion","ID","Sulawesi Utara",2020-06-25 12:25:00,2020,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.235205,1.443579
"Actinopterygii","Perciformes","Labridae","Stethojulis","ID","Sulawesi Utara",2017-11-19 10:44:00,2017,"19","cities360","79df3cd06c3e4533bf9084454ca43afb","TRUE","IDN-Bitung","Bitung","IDN","ID",125.149902,1.735533
