"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Aves","Passeriformes","Thraupidae","Tachyphonus","BR","Piauí",2017-11-16 10:00:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.33865,-5.055001
"Arachnida","Araneae","Araneidae","Argiope","BR","Piauí",2020-01-25 10:40:00,2020,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.788743,-5.087577
"Aves","Apodiformes","Trochilidae","Phaethornis","BR","Maranhão",2017-11-18 06:26:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.989096,-5.134329
"Aves","Passeriformes","Furnariidae","Cranioleuca","BR","Piauí",2017-11-18 09:53:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.809023,-5.057048
"Mammalia","Primates","Callitrichidae","Callithrix","BR","Piauí",2019-06-13 15:57:58,2019,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.796708,-5.054261
"Insecta","Lepidoptera","Saturniidae","Rothschildia","BR","Piauí",2021-08-20 07:46:54,2021,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.742085,-5.029444
"Magnoliopsida","Myrtales","Onagraceae","Ludwigia","BR","Piauí",2019-06-14 00:00:00,2019,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.78482,-5.089016
"Aves","Passeriformes","Tyrannidae","Lophotriccus","BR","Maranhão",2017-11-18 06:41:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.991176,-5.133325
"Aves","Passeriformes","Thraupidae","Nemosia","BR","Maranhão",2017-11-18 07:46:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.990955,-5.133917
"Arachnida","Araneae","Theridiidae","Latrodectus","BR","Maranhão",2021-06-22 15:16:30,2021,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.848949,-5.110732
"Aves","Passeriformes","Icteridae","Psarocolius","BR","Piauí",2017-11-16 04:45:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.592934,-5.056556
"Arachnida","Opiliones","Stygnidae","Stygnus","BR","Piauí",2021-01-23 14:07:01,2021,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.663605,-5.0829
"Arachnida","Scorpiones","Bothriuridae","Bothriurus","BR","Piauí",2019-12-06 15:49:00,2019,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.789167,-4.903889
"Aves","Piciformes","Ramphastidae","Pteroglossus","BR","Maranhão",2017-11-16 15:19:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.989096,-5.134329
"Reptilia","Squamata","Boidae","Boa","BR","Piauí",2019-06-08 21:46:48,2019,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.796692,-5.05423
"Magnoliopsida","Malpighiales","Euphorbiaceae","Ricinus","BR","Piauí",2020-02-15 11:35:00,2020,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.788767,-5.08756
"Aves","Passeriformes","Troglodytidae","Pheugopedius","BR","Maranhão",2017-11-18 06:24:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.989025,-5.134165
"Aves","Passeriformes","Conopophagidae","Conopophaga","BR","Piauí",2017-11-16 05:25:00,2017,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.592934,-5.056556
"Magnoliopsida","Malvales","Malvaceae","Waltheria","BR","Piauí",2020-02-15 09:29:00,2020,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.788728,-5.087597
"Magnoliopsida","Asterales","Asteraceae","Eclipta","BR","Piauí",2019-06-14 00:00:00,2019,"26","city_specific","b0676f0a836942a089b467169b45dc22","TRUE","BRA-Teresina","Teresina","BRA","BR",-42.78538,-5.087712
