"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Aves","Passeriformes","Laniidae","Lanius","ID","Sumatera Selatan",2021-08-25 07:02:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.034829,-3.561266
"Aves","Passeriformes","Laniidae","Lanius","ID","Sumatera Selatan",2021-08-14 07:22:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",104.893397,-3.421458
"Aves","Coraciiformes","Alcedinidae","Halcyon","ID","Sumatera Selatan",2021-08-14 16:30:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",104.893397,-3.421458
"Aves","Passeriformes","Cisticolidae","Orthotomus","ID","Sumatera Selatan",2021-08-15 10:14:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.087647,-3.445007
"Aves","Passeriformes","Pycnonotidae","Pycnonotus","ID","Sumatera Selatan",2021-08-23 08:41:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.034829,-3.561266
"Aves","Coraciiformes","Meropidae","Merops","ID","Sumatera Selatan",2021-08-26 08:40:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.034829,-3.561266
"Aves","Galliformes","Phasianidae","Gallus","ID","Sumatera Selatan",2021-09-08 12:45:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",104.751603,-3.016534
"Aves","Passeriformes","Nectariniidae","Cinnyris","ID","Sumatera Selatan",2021-08-16 10:28:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",104.893397,-3.421458
"Aves","Ciconiiformes","Ciconiidae","Leptoptilos","ID","Sumatera Selatan",2021-08-21 11:27:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.109808,-3.444912
"Aves","Pelecaniformes","Ardeidae","Ardea","ID","Sumatera Selatan",2021-08-11 14:24:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",104.893397,-3.421458
"Magnoliopsida","Caryophyllales","Nepenthaceae","Nepenthes","ID","Sumatera Selatan",2021-08-17 08:44:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.087647,-3.445007
"Aves","Accipitriformes","Accipitridae","Nisaetus","ID","Sumatera Selatan",2021-08-03 10:25:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",104.874651,-2.950502
"Aves","Passeriformes","Rhipiduridae","Rhipidura","ID","Sumatera Selatan",2021-08-14 17:17:00,2021,"22","cities360","e20b8cbf1cd74f7ab78ae3ab1c93f6b5","TRUE","IDN-Palembang","Palembang","IDN","ID",105.087647,-3.445007
