"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Aves","Passeriformes","Nectariniidae","Cinnyris","RW","Umujyi wa Kigali",2020-11-01 08:33:24,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.08247,-1.957112
"Aves","Passeriformes","Corvidae","Corvus","RW","Umujyi wa Kigali",2020-01-31 08:12:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.056759,-1.914165
"Aves","Passeriformes","Malaconotidae","Laniarius","RW","Umujyi wa Kigali",2021-09-10 12:42:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.21139,-1.987015
"Aves","Passeriformes","Estrildidae","Nesocharis","RW","Umujyi wa Kigali",2021-09-10 12:49:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.21051,-1.987265
"Aves","Pelecaniformes","Ardeidae","Ardea","RW","Umujyi wa Kigali",2021-09-10 12:43:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.211372,-1.987012
"Aves","Gruiformes","Rallidae","Rallus","RW","Umujyi wa Kigali",2019-09-14 08:27:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.189444,-1.987824
"Insecta","Lepidoptera","Crambidae","Spoladea","RW","Umujyi wa Kigali",2016-12-25 23:29:00,2016,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.068711,-1.957304
"Aves","Accipitriformes","Accipitridae","Polyboroides","RW","Umujyi wa Kigali",2017-07-24 08:20:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.136835,-1.882305
"Aves","Passeriformes","Nectariniidae","Cinnyris","RW","Umujyi wa Kigali",2019-11-28 14:27:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.063424,-1.917961
"Aves","Pelecaniformes","Scopidae","Scopus","RW","Umujyi wa Kigali",2018-06-14 07:42:00,2018,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.070376,-1.957172
"Insecta","Diptera","Culicidae","Aedes","RW","Umujyi wa Kigali",2019-12-09 10:46:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.064014,-1.918035
"Insecta","Lepidoptera","Nymphalidae","Junonia","RW","Umujyi wa Kigali",2021-12-05 12:26:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.210196,-1.985251
"Aves","Passeriformes","Passeridae","Passer","RW","Umujyi wa Kigali",2019-12-14 19:00:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.063997,-1.91803
"Magnoliopsida","Solanales","Convolvulaceae","Dichondra","RW","Umujyi wa Kigali",2019-09-25 07:48:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.093473,-1.960408
"Magnoliopsida","Asterales","Asteraceae","Tithonia","RW","Umujyi wa Kigali",2019-09-24 07:37:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.091431,-1.958335
"Gastropoda","Stylommatophora","Achatinidae","Limicolaria","RW","Umujyi wa Kigali",2020-02-01 15:07:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.065228,-1.915589
"Aves","Ciconiiformes","Ciconiidae","Anastomus","RW","Umujyi wa Kigali",2021-09-10 12:46:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.211158,-1.987077
"Magnoliopsida","Fabales","Fabaceae","Erythrina","RW","Umujyi wa Kigali",1992-04-10 15:16:00,1992,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.042484,-1.950757
"Aves","Ciconiiformes","Ciconiidae","Mycteria","RW","Umujyi wa Kigali",2017-09-08 16:30:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.057107,-1.946048
"Aves","Coraciiformes","Meropidae","Merops","RW","Umujyi wa Kigali",2019-09-14 10:24:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.179008,-1.993731
"Aves","Pelecaniformes","Scopidae","Scopus","RW","Umujyi wa Kigali",2017-01-20 18:19:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.071254,-1.955161
"Reptilia","Squamata","Chamaeleonidae","Trioceros","RW","Umujyi wa Kigali",2017-02-07 01:07:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.068706,-1.957306
"Aves","Accipitriformes","Accipitridae","Gypohierax","RW","Umujyi wa Kigali",2019-09-10 16:29:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.06315,-1.946929
"Magnoliopsida","Fabales","Fabaceae","Delonix","RW","Umujyi wa Kigali",2019-09-24 07:47:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.095768,-1.957447
"Aves","Passeriformes","Passeridae","Passer","RW","Umujyi wa Kigali",2020-01-11 11:04:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.06476,-1.915569
"Aves","Passeriformes","Nectariniidae","Hedydipna","RW","Umujyi wa Kigali",2020-09-20 07:34:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.209234,-1.986379
"Insecta","Lepidoptera","Nymphalidae","Junonia","RW","Umujyi wa Kigali",2011-02-24 13:17:00,2011,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.063635,-1.952453
"Magnoliopsida","Lamiales","Verbenaceae","Lantana","RW","Umujyi wa Kigali",2016-12-09 11:03:36,2016,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.068646,-1.956545
"Insecta","Orthoptera","Pyrgomorphidae","Zonocerus","RW","Umujyi wa Kigali",2017-09-27 16:36:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.095225,-1.943915
"Aves","Accipitriformes","Accipitridae","Milvus","RW","Umujyi wa Kigali",2020-10-26 14:41:20,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.082547,-1.957228
"Aves","Passeriformes","Malaconotidae","Laniarius","RW","Umujyi wa Kigali",2020-09-19 20:53:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.209416,-1.986176
"Aves","Passeriformes","Turdidae","Turdus","RW","Umujyi wa Kigali",2021-09-10 16:10:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.209453,-1.984217
"Aves","Passeriformes","Estrildidae","Lonchura","RW","Umujyi wa Kigali",2021-09-10 13:18:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.210222,-1.987577
"Insecta","Lepidoptera","Nymphalidae","Junonia","RW","Umujyi wa Kigali",2016-12-22 09:30:00,2016,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.068476,-1.957244
"Aves","Passeriformes","Muscicapidae","Cossypha","RW","Umujyi wa Kigali",2021-09-10 14:01:00,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.209108,-1.985375
"Magnoliopsida","Caryophyllales","Plumbaginaceae","Plumbago","RW","Umujyi wa Kigali",2021-06-12 17:31:08,2021,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.09188,-1.928058
"Aves","Columbiformes","Columbidae","Turtur","RW","Umujyi wa Kigali",2020-09-20 09:29:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.209234,-1.986379
"Aves","Passeriformes","Laniidae","Lanius","RW","Umujyi wa Kigali",2020-02-07 10:13:00,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.05693,-1.914261
"Magnoliopsida","Lamiales","Bignoniaceae","Spathodea","RW","Umujyi wa Kigali",2016-12-14 20:00:00,2016,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.060008,-1.950999
"Mammalia","Chiroptera","Pteropodidae","Eidolon","RW","Umujyi wa Kigali",2019-04-26 16:31:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.186925,-1.862504
"Mammalia","Chiroptera","Pteropodidae","Eidolon","RW","Umujyi wa Kigali",2017-09-01 00:00:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.125317,-1.848679
