"","name","urban_expansion"
"1","lu_area_1",0.670000000000002
"2","lu_area_2",3.97999999999999
"3","lu_area_3",-1.05000000000001
"4","lu_area_4",9.04000000000001
"5","lu_area_5",2.91
"6","lu_area_6",33.34
"7","lu_area_7",16.77
"8","lu_area_8",2.3
"9","lu_area_9",1.39
"10","lu_area_10",3.86
"11","lu_area_11",0
"12","lu_area_12",2.7
"13","lu_area_13",10.27
"14","lu_area_14",5.17
"15","lu_area_15",0
"16","lu_area_16",18.26
"17","lu_area_17",41.37
"18","lu_area_18",29.33
"19","lu_area_19",13.17
"20","lu_area_20",10.83
"21","lu_area_21",5.25
"22","lu_area_22",0
"23","lu_area_23",31.82
"24","lu_area_24",-1.76000000000001
"25","lu_area_25",7.63
"26","lu_area_26",11.42
"27","lu_area_27",1.13
"28","lu_area_28",0
"29","lu_area_29",15.26
"30","lu_area_30",0.84
"31","lu_area_31",0.670000000000002
"32","lu_area_32",1.25
"33","lu_area_33",0
"34","lu_area_34",4.81999999999999
"35","lu_area_35",0.77000000000001
"36","lu_area_36",0
"37","lu_area_37",0
"38","lu_area_37",0
"39","lu_area_37",0
"40","lu_area_37",0
"41","lu_area_37",0
"42","lu_area_38",2.78
"43","lu_area_39",8.03
"44","lu_area_1",-0.670000000000002
"45","lu_area_1",0.670000000000002
"46","lu_area_2",-3.97999999999999
"47","lu_area_2",3.97999999999999
"48","lu_area_3",1.05000000000001
"49","lu_area_3",-1.05000000000001
"50","lu_area_4",-9.04000000000001
"51","lu_area_4",9.04000000000001
"52","lu_area_5",-2.91
"53","lu_area_5",2.91
"54","lu_area_6",-33.34
"55","lu_area_6",33.34
"56","lu_area_7",-16.77
"57","lu_area_7",16.77
"58","lu_area_8",-2.3
"59","lu_area_8",2.3
"60","lu_area_9",-1.39
"61","lu_area_9",1.39
"62","lu_area_10",-3.86
"63","lu_area_10",3.86
"64","lu_area_11",0
"65","lu_area_11",0
"66","lu_area_12",-2.7
"67","lu_area_12",2.7
"68","lu_area_13",-10.27
"69","lu_area_13",10.27
"70","lu_area_14",-5.17
"71","lu_area_14",5.17
"72","lu_area_15",0
"73","lu_area_15",0
"74","lu_area_16",-18.26
"75","lu_area_16",18.26
"76","lu_area_17",-41.37
"77","lu_area_17",41.37
"78","lu_area_18",-29.33
"79","lu_area_18",29.33
"80","lu_area_19",-13.17
"81","lu_area_19",13.17
"82","lu_area_20",-10.83
"83","lu_area_20",10.83
"84","lu_area_21",-5.25
"85","lu_area_21",5.25
"86","lu_area_22",0
"87","lu_area_22",0
"88","lu_area_23",-31.82
"89","lu_area_23",31.82
"90","lu_area_24",1.76000000000001
"91","lu_area_24",-1.76000000000001
"92","lu_area_25",-7.63
"93","lu_area_25",7.63
"94","lu_area_26",-11.42
"95","lu_area_26",11.42
"96","lu_area_27",-1.13
"97","lu_area_27",1.13
"98","lu_area_28",0
"99","lu_area_28",0
"100","lu_area_29",-15.26
"101","lu_area_29",15.26
"102","lu_area_30",-0.84
"103","lu_area_30",0.84
"104","lu_area_31",-0.670000000000002
"105","lu_area_31",0.670000000000002
"106","lu_area_32",-1.25
"107","lu_area_32",1.25
"108","lu_area_33",0
"109","lu_area_33",0
"110","lu_area_34",-4.81999999999999
"111","lu_area_34",4.81999999999999
"112","lu_area_35",-0.77000000000001
"113","lu_area_35",0.77000000000001
"114","lu_area_36",0
"115","lu_area_36",0
"116","lu_area_37",0
"117","lu_area_37",0
"118","lu_area_38",-2.78
"119","lu_area_38",2.78
"120","lu_area_39",-8.03
"121","lu_area_39",8.03
"122","lu_area_40",9.89
"123","lu_area_41",1.86000000000001
