"","name","year","Urban","Non Urban"
"1","lu_area_1","2016",99.33,0.67
"2","lu_area_1","2021",100,0
"3","lu_area_2","2016",91.04,8.96
"4","lu_area_2","2021",95.02,4.98
"5","lu_area_3","2016",97.29,2.71
"6","lu_area_3","2021",96.24,3.76
"7","lu_area_4","2016",84.16,15.84
"8","lu_area_4","2021",93.2,6.8
"9","lu_area_5","2016",84.48,15.52
"10","lu_area_5","2021",87.39,12.61
"11","lu_area_6","2016",62.96,37.04
"12","lu_area_6","2021",96.3,3.7
"13","lu_area_7","2016",65.84,34.16
"14","lu_area_7","2021",82.61,17.39
"15","lu_area_8","2016",95.19,4.81
"16","lu_area_8","2021",97.49,2.51
"17","lu_area_9","2016",97.22,2.78
"18","lu_area_9","2021",98.61,1.39
"19","lu_area_10","2016",88.43,11.57
"20","lu_area_10","2021",92.29,7.71
"21","lu_area_11","2016",100,0
"22","lu_area_11","2021",100,0
"23","lu_area_12","2016",95.59,4.41
"24","lu_area_12","2021",98.29,1.71
"25","lu_area_13","2016",79.02,20.98
"26","lu_area_13","2021",89.29,10.71
"27","lu_area_14","2016",18.97,81.03
"28","lu_area_14","2021",24.14,75.86
"29","lu_area_15","2016",95.21,4.79
"30","lu_area_15","2021",95.21,4.79
"31","lu_area_16","2016",59.52,40.48
"32","lu_area_16","2021",77.78,22.22
"33","lu_area_17","2016",15.54,84.46
"34","lu_area_17","2021",56.91,43.09
"35","lu_area_18","2016",33.08,66.92
"36","lu_area_18","2021",62.41,37.59
"37","lu_area_19","2016",74.9,25.1
"38","lu_area_19","2021",88.07,11.93
"39","lu_area_20","2016",75.12,24.88
"40","lu_area_20","2021",85.95,14.05
"41","lu_area_21","2016",80.67,19.33
"42","lu_area_21","2021",85.92,14.08
"43","lu_area_22","2016",100,0
"44","lu_area_22","2021",100,0
"45","lu_area_23","2016",55.68,44.32
"46","lu_area_23","2021",87.5,12.5
"47","lu_area_24","2016",98.25,1.75
"48","lu_area_24","2021",96.49,3.51
"49","lu_area_25","2016",85.59,14.41
"50","lu_area_25","2021",93.22,6.78
"51","lu_area_26","2016",74.29,25.71
"52","lu_area_26","2021",85.71,14.29
"53","lu_area_27","2016",92.2,7.8
"54","lu_area_27","2021",93.33,6.67
"55","lu_area_28","2016",100,0
"56","lu_area_28","2021",100,0
"57","lu_area_29","2016",4.21,95.79
"58","lu_area_29","2021",19.47,80.53
"59","lu_area_30","2016",0.25,99.75
"60","lu_area_30","2021",1.09,98.91
"61","lu_area_31","2016",97.33,2.67
"62","lu_area_31","2021",98,2
"63","lu_area_32","2016",98.75,1.25
"64","lu_area_32","2021",100,0
"65","lu_area_33","2016",100,0
"66","lu_area_33","2021",100,0
"67","lu_area_34","2016",95.18,4.82
"68","lu_area_34","2021",100,0
"69","lu_area_35","2016",98.66,1.34
"70","lu_area_35","2021",99.43,0.57
"71","lu_area_36","2016",3.33,96.67
"72","lu_area_36","2021",3.33,96.67
"73","lu_area_37","2016",100,0
"74","lu_area_37","2021",100,0
"75","lu_area_37","2016",100,0
"76","lu_area_37","2021",100,0
"77","lu_area_37","2016",100,0
"78","lu_area_37","2021",100,0
"79","lu_area_38","2016",0,100
"80","lu_area_38","2021",2.78,97.22
"81","lu_area_39","2016",14.13,85.87
"82","lu_area_39","2021",22.16,77.84
"83","lu_area_1","2016",99.33,0.67
"84","lu_area_1","2021",100,0
"85","lu_area_2","2016",91.04,8.96
"86","lu_area_2","2021",95.02,4.98
"87","lu_area_3","2016",97.29,2.71
"88","lu_area_3","2021",96.24,3.76
"89","lu_area_4","2016",84.16,15.84
"90","lu_area_4","2021",93.2,6.8
"91","lu_area_5","2016",84.48,15.52
"92","lu_area_5","2021",87.39,12.61
"93","lu_area_6","2016",62.96,37.04
"94","lu_area_6","2021",96.3,3.7
"95","lu_area_7","2016",65.84,34.16
"96","lu_area_7","2021",82.61,17.39
"97","lu_area_8","2016",95.19,4.81
"98","lu_area_8","2021",97.49,2.51
"99","lu_area_9","2016",97.22,2.78
"100","lu_area_9","2021",98.61,1.39
"101","lu_area_10","2016",88.43,11.57
"102","lu_area_10","2021",92.29,7.71
"103","lu_area_11","2016",100,0
"104","lu_area_11","2021",100,0
"105","lu_area_12","2016",95.59,4.41
"106","lu_area_12","2021",98.29,1.71
"107","lu_area_13","2016",79.02,20.98
"108","lu_area_13","2021",89.29,10.71
"109","lu_area_14","2016",18.97,81.03
"110","lu_area_14","2021",24.14,75.86
"111","lu_area_15","2016",95.21,4.79
"112","lu_area_15","2021",95.21,4.79
"113","lu_area_16","2016",59.52,40.48
"114","lu_area_16","2021",77.78,22.22
"115","lu_area_17","2016",15.54,84.46
"116","lu_area_17","2021",56.91,43.09
"117","lu_area_18","2016",33.08,66.92
"118","lu_area_18","2021",62.41,37.59
"119","lu_area_19","2016",74.9,25.1
"120","lu_area_19","2021",88.07,11.93
"121","lu_area_20","2016",75.12,24.88
"122","lu_area_20","2021",85.95,14.05
"123","lu_area_21","2016",80.67,19.33
"124","lu_area_21","2021",85.92,14.08
"125","lu_area_22","2016",100,0
"126","lu_area_22","2021",100,0
"127","lu_area_23","2016",55.68,44.32
"128","lu_area_23","2021",87.5,12.5
"129","lu_area_24","2016",98.25,1.75
"130","lu_area_24","2021",96.49,3.51
"131","lu_area_25","2016",85.59,14.41
"132","lu_area_25","2021",93.22,6.78
"133","lu_area_26","2016",74.29,25.71
"134","lu_area_26","2021",85.71,14.29
"135","lu_area_27","2016",92.2,7.8
"136","lu_area_27","2021",93.33,6.67
"137","lu_area_28","2016",100,0
"138","lu_area_28","2021",100,0
"139","lu_area_29","2016",4.21,95.79
"140","lu_area_29","2021",19.47,80.53
"141","lu_area_30","2016",0.25,99.75
"142","lu_area_30","2021",1.09,98.91
"143","lu_area_31","2016",97.33,2.67
"144","lu_area_31","2021",98,2
"145","lu_area_32","2016",98.75,1.25
"146","lu_area_32","2021",100,0
"147","lu_area_33","2016",100,0
"148","lu_area_33","2021",100,0
"149","lu_area_34","2016",95.18,4.82
"150","lu_area_34","2021",100,0
"151","lu_area_35","2016",98.66,1.34
"152","lu_area_35","2021",99.43,0.57
"153","lu_area_36","2016",3.33,96.67
"154","lu_area_36","2021",3.33,96.67
"155","lu_area_37","2016",100,0
"156","lu_area_37","2021",100,0
"157","lu_area_38","2016",0,100
"158","lu_area_38","2021",2.78,97.22
"159","lu_area_39","2016",14.13,85.87
"160","lu_area_39","2021",22.16,77.84
"161","lu_area_40","2016",9.89,90.11
"162","lu_area_40","2021",19.78,80.22
"163","lu_area_41","2016",74.07,25.93
"164","lu_area_41","2021",75.93,24.07
"165","lu_area_42","2016",98.08,1.92
"166","lu_area_42","2021",100,0
"167","lu_area_43","2016",100,0
"168","lu_area_43","2021",100,0
"169","lu_area_44","2016",75.24,24.76
"170","lu_area_44","2021",84.76,15.24
"171","lu_area_45","2016",99.84,0.16
"172","lu_area_45","2021",99.84,0.16
"173","lu_area_46","2016",89.55,10.45
"174","lu_area_46","2021",92.27,7.73
"175","lu_area_47","2016",100,0
"176","lu_area_47","2021",100,0
"177","lu_area_48","2016",100,0
"178","lu_area_48","2021",100,0
"179","lu_area_49","2016",100,0
"180","lu_area_49","2021",100,0
"181","lu_area_50","2016",88,12
"182","lu_area_50","2021",100,0
"183","lu_area_51","2016",100,0
"184","lu_area_51","2021",100,0
"185","lu_area_52","2016",98.42,1.58
"186","lu_area_52","2021",97.37,2.63
"187","lu_area_53","2016",100,0
"188","lu_area_53","2021",100,0
"189","lu_area_54","2016",86.67,13.33
"190","lu_area_54","2021",93.33,6.67
"191","lu_area_55","2016",100,0
"192","lu_area_55","2021",100,0
"193","lu_area_56","2016",95,5
"194","lu_area_56","2021",94,6
"195","lu_area_57","2016",100,0
"196","lu_area_57","2021",100,0
"197","lu_area_58","2016",57.35,42.65
"198","lu_area_58","2021",86.37,13.63
"199","lu_area_59","2016",100,0
"200","lu_area_59","2021",100,0
"201","lu_area_60","2016",22.75,77.25
"202","lu_area_60","2021",33.65,66.35
"203","lu_area_61","2016",100,0
"204","lu_area_61","2021",100,0
"205","lu_area_62","2016",72.73,27.27
"206","lu_area_62","2021",88.31,11.69
"207","lu_area_63","2016",47.92,52.08
"208","lu_area_63","2021",39.58,60.42
"209","lu_area_64","2016",94.17,5.83
"210","lu_area_64","2021",96.17,3.83
"211","lu_area_65","2016",100,0
"212","lu_area_65","2021",100,0
"213","lu_area_66","2016",100,0
"214","lu_area_66","2021",100,0
"215","lu_area_67","2016",55.36,44.64
"216","lu_area_67","2021",73.21,26.79
"217","lu_area_68","2016",84.21,15.79
"218","lu_area_68","2021",80.26,19.74
"219","lu_area_69","2016",100,0
"220","lu_area_69","2021",100,0
"221","lu_area_70","2016",77.14,22.86
"222","lu_area_70","2021",100,0
"223","lu_area_71","2016",93.75,6.25
"224","lu_area_71","2021",97.22,2.78
"225","lu_area_72","2016",66.79,33.21
"226","lu_area_72","2021",86.13,13.87
"227","lu_area_73","2016",100,0
"228","lu_area_73","2021",100,0
"229","lu_area_74","2016",33.63,66.37
"230","lu_area_74","2021",61.33,38.67
"231","lu_area_75","2016",100,0
"232","lu_area_75","2021",100,0
"233","lu_area_76","2016",71.88,28.12
"234","lu_area_76","2021",81.25,18.75
"235","lu_area_77","2016",100,0
"236","lu_area_77","2021",100,0
"237","lu_area_78","2016",100,0
"238","lu_area_78","2021",100,0
"239","lu_area_79","2016",100,0
"240","lu_area_79","2021",100,0
"241","lu_area_80","2016",100,0
"242","lu_area_80","2021",100,0
"243","lu_area_81","2016",100,0
"244","lu_area_81","2021",100,0
"245","lu_area_82","2016",69.23,30.77
"246","lu_area_82","2021",84.62,15.38
"247","lu_area_83","2016",100,0
"248","lu_area_83","2021",100,0
"249","lu_area_84","2016",100,0
"250","lu_area_84","2021",100,0
"251","lu_area_85","2016",100,0
"252","lu_area_85","2021",100,0
"253","lu_area_86","2016",90.4,9.6
"254","lu_area_86","2021",93.84,6.16
"255","lu_area_87","2016",93.99,6.01
"256","lu_area_87","2021",99,1
"257","lu_area_89","2016",100,0
"258","lu_area_89","2021",100,0
"259","lu_area_90","2016",90.62,9.38
"260","lu_area_90","2021",90.62,9.38
"261","lu_area_91","2016",100,0
"262","lu_area_91","2021",100,0
"263","lu_area_92","2016",10.42,89.58
"264","lu_area_92","2021",22.92,77.08
"265","lu_area_93","2016",100,0
"266","lu_area_93","2021",0,100
"267","lu_area_94","2016",100,0
"268","lu_area_94","2021",98.48,1.52
"269","lu_area_95","2016",31.56,68.44
"270","lu_area_95","2021",70.66,29.34
"271","lu_area_96","2016",100,0
"272","lu_area_96","2021",94.74,5.26
"273","lu_area_97","2016",100,0
"274","lu_area_97","2021",100,0
"275","lu_area_98","2016",85.71,14.29
"276","lu_area_98","2021",85.71,14.29
"277","lu_area_99","2016",100,0
"278","lu_area_99","2021",100,0
"279","lu_area_100","2016",99.76,0.24
"280","lu_area_100","2021",99.76,0.24
"281","lu_area_101","2016",100,0
"282","lu_area_101","2021",100,0
"283","lu_area_102","2016",100,0
"284","lu_area_102","2021",100,0
"285","lu_area_103","2016",0,100
"286","lu_area_103","2021",100,0
"287","lu_area_104","2016",100,0
"288","lu_area_104","2021",100,0
"289","lu_area_105","2016",100,0
"290","lu_area_105","2021",100,0
"291","lu_area_106","2016",100,0
"292","lu_area_106","2021",100,0
"293","lu_area_107","2016",100,0
"294","lu_area_107","2021",100,0
"295","lu_area_108","2016",94.9,5.1
"296","lu_area_108","2021",99.59,0.41
"297","lu_area_109","2016",100,0
"298","lu_area_109","2021",99.07,0.93
"299","lu_area_110","2016",95.38,4.62
"300","lu_area_110","2021",100,0
"301","lu_area_111","2016",63.64,36.36
"302","lu_area_111","2021",100,0
"303","lu_area_112","2016",100,0
"304","lu_area_112","2021",100,0
"305","lu_area_113","2016",15.85,84.15
"306","lu_area_113","2021",23.35,76.65
"307","lu_area_114","2016",100,0
"308","lu_area_114","2021",100,0
"309","lu_area_115","2016",100,0
"310","lu_area_115","2021",100,0
"311","lu_area_116","2016",100,0
"312","lu_area_116","2021",100,0
"313","lu_area_117","2016",66.67,33.33
"314","lu_area_117","2021",100,0
"315","lu_area_118","2016",100,0
"316","lu_area_118","2021",100,0
"317","lu_area_119","2016",100,0
"318","lu_area_119","2021",100,0
"319","lu_area_120","2016",100,0
"320","lu_area_120","2021",100,0
"321","lu_area_121","2016",100,0
"322","lu_area_121","2021",100,0
"323","lu_area_122","2016",100,0
"324","lu_area_122","2021",100,0
"325","lu_area_123","2016",100,0
"326","lu_area_123","2021",100,0
"327","lu_area_124","2016",100,0
"328","lu_area_124","2021",100,0
"329","lu_area_125","2016",100,0
"330","lu_area_125","2021",100,0
