"","name","year","Urban","Non Urban"
"331","lu_area_126","2016",100,0
"332","lu_area_126","2021",100,0
"333","lu_area_127","2016",100,0
"334","lu_area_127","2021",100,0
"335","lu_area_128","2016",100,0
"336","lu_area_128","2021",77.78,22.22
"337","lu_area_129","2016",96.3,3.7
"338","lu_area_129","2021",100,0
"339","lu_area_130","2016",100,0
"340","lu_area_130","2021",100,0
"341","lu_area_131","2016",100,0
"342","lu_area_131","2021",100,0
"343","lu_area_132","2016",92.31,7.69
"344","lu_area_132","2021",92.31,7.69
"345","lu_area_133","2016",91.82,8.18
"346","lu_area_133","2021",94.75,5.25
"347","lu_area_134","2016",5.97,94.03
"348","lu_area_134","2021",10.69,89.31
"349","lu_area_135","2016",100,0
"350","lu_area_135","2021",100,0
"351","lu_area_136","2016",75,25
"352","lu_area_136","2021",100,0
"353","lu_area_137","2016",100,0
"354","lu_area_137","2021",100,0
"355","lu_area_138","2016",44.44,55.56
"356","lu_area_138","2021",100,0
"357","lu_area_139","2016",100,0
"358","lu_area_139","2021",100,0
"359","lu_area_140","2016",100,0
"360","lu_area_140","2021",100,0
"361","lu_area_141","2016",12.12,87.88
"362","lu_area_141","2021",19.7,80.3
"363","lu_area_142","2016",97.44,2.56
"364","lu_area_142","2021",98.46,1.54
"365","lu_area_143","2016",88.64,11.36
"366","lu_area_143","2021",93.59,6.41
"367","lu_area_144","2016",95.21,4.79
"368","lu_area_144","2021",97.6,2.4
"369","lu_area_145","2016",84.62,15.38
"370","lu_area_145","2021",100,0
"371","lu_area_146","2016",91.88,8.12
"372","lu_area_146","2021",97.5,2.5
"373","lu_area_147","2016",100,0
"374","lu_area_147","2021",100,0
"375","lu_area_148","2016",25.53,74.47
"376","lu_area_148","2021",48.94,51.06
"377","lu_area_149","2016",95.8,4.2
"378","lu_area_149","2021",97.62,2.38
"379","lu_area_150","2016",96.17,3.83
"380","lu_area_150","2021",97.61,2.39
"381","lu_area_151","2016",98.11,1.89
"382","lu_area_151","2021",98.11,1.89
"383","lu_area_152","2016",100,0
"384","lu_area_152","2021",100,0
"385","lu_area_153","2016",4.17,95.83
"386","lu_area_153","2021",45.83,54.17
"387","lu_area_154","2016",100,0
"388","lu_area_154","2021",100,0
"389","lu_area_155","2016",100,0
"390","lu_area_155","2021",100,0
"391","lu_area_156","2016",100,0
"392","lu_area_156","2021",100,0
"393","lu_area_157","2016",50,50
"394","lu_area_157","2021",100,0
"395","lu_area_158","2016",80,20
"396","lu_area_158","2021",100,0
"397","lu_area_159","2016",100,0
"398","lu_area_159","2021",100,0
"399","lu_area_160","2016",92.31,7.69
"400","lu_area_160","2021",100,0
"401","lu_area_161","2016",15.67,84.33
"402","lu_area_161","2021",35.67,64.33
"403","lu_area_162","2016",100,0
"404","lu_area_162","2021",100,0
"405","lu_area_163","2016",100,0
"406","lu_area_163","2021",100,0
"407","lu_area_164","2016",71.43,28.57
"408","lu_area_164","2021",85.71,14.29
"409","lu_area_165","2016",93.62,6.38
"410","lu_area_165","2021",95.74,4.26
"411","lu_area_166","2016",12.3,87.7
"412","lu_area_166","2021",47.93,52.07
"413","lu_area_167","2016",96.27,3.73
"414","lu_area_167","2021",93.79,6.21
"415","lu_area_168","2016",100,0
"416","lu_area_168","2021",100,0
"417","lu_area_169","2016",100,0
"418","lu_area_169","2021",100,0
"419","lu_area_170","2016",100,0
"420","lu_area_170","2021",100,0
"421","lu_area_171","2016",100,0
"422","lu_area_171","2021",100,0
"423","lu_area_172","2016",100,0
"424","lu_area_172","2021",100,0
"425","lu_area_173","2016",100,0
"426","lu_area_173","2021",100,0
"427","lu_area_174","2016",100,0
"428","lu_area_174","2021",100,0
"429","lu_area_175","2016",97.3,2.7
"430","lu_area_175","2021",100,0
"431","lu_area_176","2016",100,0
"432","lu_area_176","2021",100,0
"433","lu_area_177","2016",97.03,2.97
"434","lu_area_177","2021",99.04,0.96
"435","lu_area_178","2016",100,0
"436","lu_area_178","2021",100,0
"437","lu_area_179","2016",100,0
"438","lu_area_179","2021",100,0
"439","lu_area_180","2016",100,0
"440","lu_area_180","2021",100,0
"441","lu_area_181","2016",100,0
"442","lu_area_181","2021",100,0
"443","lu_area_183","2016",0,100
"444","lu_area_183","2021",100,0
"445","lu_area_184","2016",100,0
"446","lu_area_184","2021",100,0
"447","lu_area_185","2016",95.89,4.11
"448","lu_area_185","2021",96.12,3.88
"449","lu_area_186","2016",100,0
"450","lu_area_186","2021",100,0
"451","lu_area_187","2016",100,0
"452","lu_area_187","2021",100,0
"453","lu_area_188","2016",100,0
"454","lu_area_188","2021",100,0
"455","lu_area_189","2016",100,0
"456","lu_area_189","2021",100,0
"457","lu_area_190","2016",100,0
"458","lu_area_190","2021",100,0
"459","lu_area_191","2016",95.79,4.21
"460","lu_area_191","2021",96.04,3.96
"461","lu_area_192","2016",100,0
"462","lu_area_192","2021",100,0
"463","lu_area_194","2016",100,0
"464","lu_area_194","2021",100,0
"465","lu_area_195","2016",97.22,2.78
"466","lu_area_195","2021",91.35,8.65
"467","lu_area_196","2016",99.25,0.75
"468","lu_area_196","2021",99.25,0.75
"469","lu_area_197","2016",88.57,11.43
"470","lu_area_197","2021",91.43,8.57
"471","lu_area_198","2016",92.52,7.48
"472","lu_area_198","2021",93.93,6.07
"473","lu_area_199","2016",100,0
"474","lu_area_199","2021",100,0
"475","lu_area_200","2016",100,0
"476","lu_area_200","2021",84.62,15.38
"477","lu_area_201","2016",90.62,9.38
"478","lu_area_201","2021",96.88,3.12
"479","lu_area_202","2016",97.87,2.13
"480","lu_area_202","2021",97.94,2.06
"481","lu_area_203","2016",0.42,99.58
"482","lu_area_203","2021",1.68,98.32
"483","lu_area_204","2016",100,0
"484","lu_area_204","2021",100,0
"485","lu_area_205","2016",100,0
"486","lu_area_205","2021",100,0
"487","lu_area_206","2016",92.31,7.69
"488","lu_area_206","2021",100,0
"489","lu_area_207","2016",100,0
"490","lu_area_207","2021",100,0
"491","lu_area_208","2016",95.17,4.83
"492","lu_area_208","2021",97.14,2.86
"493","lu_area_209","2016",83,17
"494","lu_area_209","2021",94.75,5.25
"495","lu_area_210","2016",100,0
"496","lu_area_210","2021",100,0
"497","lu_area_211","2016",100,0
"498","lu_area_211","2021",100,0
"499","lu_area_212","2016",100,0
"500","lu_area_212","2021",100,0
"501","lu_area_213","2016",100,0
"502","lu_area_213","2021",100,0
"503","lu_area_214","2016",87.5,12.5
"504","lu_area_214","2021",100,0
"505","lu_area_215","2016",95.45,4.55
"506","lu_area_215","2021",100,0
"507","lu_area_217","2016",11.11,88.89
"508","lu_area_217","2021",44.44,55.56
"509","lu_area_218","2016",100,0
"510","lu_area_218","2021",100,0
"511","lu_area_219","2016",85.71,14.29
"512","lu_area_219","2021",100,0
"513","lu_area_221","2016",100,0
"514","lu_area_221","2021",100,0
"515","lu_area_222","2016",100,0
"516","lu_area_222","2021",100,0
"517","lu_area_223","2016",100,0
"518","lu_area_223","2021",100,0
"519","lu_area_224","2016",4.68,95.32
"520","lu_area_224","2021",16.08,83.92
"521","lu_area_225","2016",90.04,9.96
"522","lu_area_225","2021",89.05,10.95
"523","lu_area_226","2016",100,0
"524","lu_area_226","2021",100,0
"525","lu_area_227","2016",100,0
"526","lu_area_227","2021",100,0
"527","lu_area_228","2016",100,0
"528","lu_area_228","2021",100,0
"529","lu_area_229","2016",100,0
"530","lu_area_229","2021",100,0
"531","lu_area_230","2016",98.71,1.29
"532","lu_area_230","2021",98.06,1.94
"533","lu_area_231","2016",92.21,7.79
"534","lu_area_231","2021",95.84,4.16
"535","lu_area_232","2016",100,0
"536","lu_area_232","2021",100,0
"537","lu_area_233","2016",94.83,5.17
"538","lu_area_233","2021",98.28,1.72
"539","lu_area_234","2016",100,0
"540","lu_area_234","2021",100,0
"541","lu_area_235","2016",93.18,6.82
"542","lu_area_235","2021",100,0
"543","lu_area_236","2016",45,55
"544","lu_area_236","2021",55,45
"545","lu_area_237","2016",100,0
"546","lu_area_237","2021",100,0
"547","lu_area_238","2016",100,0
"548","lu_area_238","2021",100,0
"549","lu_area_239","2016",22.22,77.78
"550","lu_area_239","2021",25,75
"551","lu_area_240","2016",100,0
"552","lu_area_240","2021",100,0
"553","lu_area_241","2016",100,0
"554","lu_area_241","2021",100,0
"555","lu_area_242","2016",0,100
"556","lu_area_242","2021",3.46,96.54
"557","lu_area_243","2016",100,0
"558","lu_area_243","2021",100,0
"559","lu_area_244","2016",100,0
"560","lu_area_244","2021",100,0
"561","lu_area_245","2016",100,0
"562","lu_area_245","2021",100,0
"563","lu_area_246","2016",16.67,83.33
"564","lu_area_246","2021",54.17,45.83
"565","lu_area_247","2016",100,0
"566","lu_area_247","2021",100,0
"567","lu_area_248","2016",85.71,14.29
"568","lu_area_248","2021",85.71,14.29
"569","lu_area_249","2016",5.56,94.44
"570","lu_area_249","2021",100,0
"571","lu_area_250","2016",5.56,94.44
"572","lu_area_250","2021",16.67,83.33
"573","lu_area_251","2016",100,0
"574","lu_area_251","2021",100,0
"575","lu_area_252","2016",98.18,1.82
"576","lu_area_252","2021",98.18,1.82
"577","lu_area_253","2016",100,0
"578","lu_area_253","2021",100,0
"579","lu_area_254","2016",66.67,33.33
"580","lu_area_254","2021",66.67,33.33
"581","lu_area_255","2016",99.05,0.95
"582","lu_area_255","2021",99.43,0.57
"583","lu_area_256","2016",87.01,12.99
"584","lu_area_256","2021",85.71,14.29
"585","lu_area_257","2016",100,0
"586","lu_area_257","2021",100,0
"587","lu_area_258","2016",100,0
"588","lu_area_258","2021",100,0
"589","lu_area_259","2016",41.88,58.12
"590","lu_area_259","2021",55.84,44.16
"591","lu_area_260","2016",96.49,3.51
"592","lu_area_260","2021",97.49,2.51
"593","lu_area_261","2016",50,50
"594","lu_area_261","2021",100,0
"595","lu_area_262","2016",100,0
"596","lu_area_262","2021",100,0
"597","lu_area_263","2016",82.09,17.91
"598","lu_area_263","2021",85.07,14.93
"599","lu_area_264","2016",100,0
"600","lu_area_264","2021",71.43,28.57
"601","lu_area_265","2016",80.81,19.19
"602","lu_area_265","2021",83.66,16.34
"603","lu_area_266","2016",100,0
"604","lu_area_266","2021",100,0
"605","lu_area_267","2016",97.44,2.56
"606","lu_area_267","2021",97.44,2.56
"607","lu_area_268","2016",100,0
"608","lu_area_268","2021",100,0
"609","lu_area_269","2016",67.44,32.56
"610","lu_area_269","2021",76.74,23.26
"611","lu_area_270","2016",42,58
"612","lu_area_270","2021",40.4,59.6
"613","lu_area_272","2016",100,0
"614","lu_area_272","2021",100,0
"615","lu_area_273","2016",100,0
"616","lu_area_273","2021",100,0
"617","lu_area_274","2016",66.67,33.33
"618","lu_area_274","2021",100,0
"619","lu_area_275","2016",100,0
"620","lu_area_275","2021",100,0
"621","lu_area_276","2016",97.89,2.11
"622","lu_area_276","2021",99.4,0.6
"623","lu_area_277","2016",100,0
"624","lu_area_277","2021",100,0
"625","lu_area_278","2016",100,0
"626","lu_area_278","2021",100,0
"627","lu_area_279","2016",100,0
"628","lu_area_279","2021",100,0
"629","lu_area_280","2016",100,0
"630","lu_area_280","2021",100,0
"631","lu_area_281","2016",62.75,37.25
"632","lu_area_281","2021",80.39,19.61
"633","lu_area_282","2016",100,0
"634","lu_area_282","2021",100,0
"635","lu_area_283","2016",100,0
"636","lu_area_283","2021",100,0
"637","lu_area_284","2016",96.84,3.16
"638","lu_area_284","2021",92.63,7.37
"639","lu_area_285","2016",100,0
"640","lu_area_285","2021",100,0
"641","lu_area_286","2016",90,10
"642","lu_area_286","2021",83.33,16.67
"643","lu_area_287","2016",73.08,26.92
"644","lu_area_287","2021",88.46,11.54
"645","lu_area_288","2016",87.1,12.9
"646","lu_area_288","2021",87.1,12.9
"647","lu_area_289","2016",100,0
"648","lu_area_289","2021",100,0
"649","lu_area_290","2016",100,0
"650","lu_area_290","2021",100,0
"651","lu_area_291","2016",96,4
"652","lu_area_291","2021",100,0
"653","lu_area_293","2016",74.51,25.49
"654","lu_area_293","2021",74.51,25.49
"655","lu_area_294","2016",100,0
"656","lu_area_294","2021",100,0
"657","lu_area_295","2016",100,0
"658","lu_area_295","2021",100,0
"659","lu_area_296","2016",100,0
"660","lu_area_296","2021",100,0
"661","lu_area_297","2016",100,0
"662","lu_area_297","2021",100,0
"663","lu_area_298","2016",100,0
"664","lu_area_298","2021",66.67,33.33
"665","lu_area_299","2016",83.33,16.67
"666","lu_area_299","2021",83.33,16.67
"667","lu_area_300","2016",100,0
"668","lu_area_300","2021",100,0
"669","lu_area_301","2016",100,0
"670","lu_area_301","2021",100,0
"671","lu_area_302","2016",100,0
"672","lu_area_302","2021",100,0
"673","lu_area_303","2016",100,0
"674","lu_area_303","2021",100,0
"675","lu_area_304","2016",100,0
"676","lu_area_304","2021",96.3,3.7
"677","lu_area_305","2016",100,0
"678","lu_area_305","2021",100,0
"679","lu_area_306","2016",100,0
"680","lu_area_306","2021",100,0
"681","lu_area_307","2016",100,0
"682","lu_area_307","2021",100,0
"683","lu_area_308","2016",100,0
"684","lu_area_308","2021",100,0
"685","lu_area_309","2016",100,0
"686","lu_area_309","2021",73.91,26.09
"687","lu_area_310","2016",68.89,31.11
"688","lu_area_310","2021",75.56,24.44
"689","lu_area_311","2016",100,0
"690","lu_area_311","2021",100,0
"691","lu_area_312","2016",100,0
"692","lu_area_312","2021",100,0
"693","lu_area_313","2016",100,0
"694","lu_area_313","2021",100,0
"695","lu_area_314","2016",100,0
"696","lu_area_314","2021",100,0
"697","lu_area_315","2016",71.43,28.57
"698","lu_area_315","2021",85.71,14.29
"699","lu_area_316","2016",93.73,6.27
"700","lu_area_316","2021",93.36,6.64
"701","lu_area_317","2016",96.77,3.23
"702","lu_area_317","2021",96.77,3.23
"703","lu_area_318","2016",100,0
"704","lu_area_318","2021",100,0
"705","lu_area_319","2016",100,0
"706","lu_area_319","2021",100,0
"707","lu_area_320","2016",87.5,12.5
"708","lu_area_320","2021",66.67,33.33
"709","lu_area_321","2016",100,0
"710","lu_area_321","2021",100,0
"711","lu_area_322","2016",100,0
"712","lu_area_322","2021",94.59,5.41
"713","lu_area_323","2016",100,0
"714","lu_area_323","2021",100,0
"715","lu_area_324","2016",100,0
"716","lu_area_324","2021",100,0
"717","lu_area_325","2016",90,10
"718","lu_area_325","2021",95,5
"719","lu_area_326","2016",97.06,2.94
"720","lu_area_326","2021",97.06,2.94
"721","lu_area_327","2016",100,0
"722","lu_area_327","2021",100,0
"723","lu_area_328","2016",100,0
"724","lu_area_328","2021",100,0
"725","lu_area_329","2016",100,0
"726","lu_area_329","2021",100,0
"727","lu_area_330","2016",100,0
"728","lu_area_330","2021",100,0
"729","lu_area_331","2016",100,0
"730","lu_area_331","2021",100,0
"731","lu_area_332","2016",68.12,31.88
"732","lu_area_332","2021",79.71,20.29
"733","lu_area_333","2016",100,0
"734","lu_area_333","2021",100,0
"735","lu_area_334","2016",100,0
"736","lu_area_334","2021",100,0
"737","lu_area_335","2016",75,25
"738","lu_area_335","2021",100,0
"739","lu_area_336","2016",100,0
"740","lu_area_336","2021",100,0
"741","lu_area_337","2016",92.95,7.05
