"land_use_classes","nb_cells","land_use_percent","year"
"Open space",123791151,92.65,"2020"
"Housing project",4588591,3.43,"2020"
"Non residential",4029390,3.02,"2020"
"Informal subdivision",694971,0.52,"2020"
"Road",411092,0.31,"2020"
"Atomistic",94178,0.07,"2020"
