"land_use_classes","nb_cells","land_use_percent","year"
"Open space",26369708,88.75,"2020"
"Informal subdivision",1950309,6.56,"2020"
"Atomistic",659854,2.22,"2020"
"Non residential",575269,1.94,"2020"
"Housing project",100710,0.34,"2020"
"Road",57962,0.2,"2020"
