"city_id","indicator_theme","data_sources","indicator_name","year","value"
"RWA-Kigali","greenspace","Dynamic WOrld","dynamic_world_vegetation_land_percent","2016",49.22
"RWA-Kigali","greenspace","Dynamic WOrld","dynamic_world_vegetation_land_percent","2017",44.15
"RWA-Kigali","greenspace","Dynamic WOrld","dynamic_world_vegetation_land_percent","2018",34.9
"RWA-Kigali","greenspace","Dynamic WOrld","dynamic_world_vegetation_land_percent","2019",39.11
"RWA-Kigali","greenspace","Dynamic WOrld","dynamic_world_vegetation_land_percent","2020",40.17
